box_x,box_y,timestamp,density
19,17,1,1
19,17,26,1
19,17,39,1
19,17,45,1
19,17,49,2
19,17,53,1
19,17,54,1
19,17,60,1
19,17,61,3
19,17,64,1
19,17,65,1
19,17,72,2
19,17,73,1
19,17,74,3
19,17,76,1
19,17,77,3
19,17,78,1
19,17,79,1
19,17,81,6
19,17,82,1
19,17,83,2
19,17,84,2
19,17,85,4
19,17,86,1
19,17,87,5
19,17,88,1
19,17,90,1
19,17,91,3
19,17,92,5
19,17,93,3
19,17,95,2
19,17,96,4
19,17,97,1
19,17,99,1
19,17,102,3
19,17,103,3
19,17,104,2
19,17,105,1
19,17,106,2
19,17,107,3
19,17,110,4
19,17,111,1
19,17,113,6
19,17,114,4
19,17,115,4
19,17,116,2
19,17,117,3
19,17,118,1
19,17,119,3
19,17,120,7
19,17,122,1
19,17,123,1
19,17,124,1
19,17,125,5
19,17,126,6
19,17,127,3
19,17,136,2
19,17,137,1
19,17,138,1
19,17,142,2
19,18,1,1
19,18,4,1
19,18,5,1
19,18,11,2
19,18,12,2
19,18,45,5
19,18,47,1
19,18,48,2
19,18,50,2
19,18,51,2
19,18,52,1
19,18,53,1
19,18,54,1
19,18,55,1
19,18,56,4
19,18,57,2
19,18,59,3
19,18,60,4
19,18,62,2
19,18,63,3
19,18,65,3
19,18,66,2
19,18,67,4
19,18,68,2
19,18,69,2
19,18,70,2
19,18,71,3
19,18,72,1
19,18,73,1
19,18,74,1
19,18,76,1
19,18,78,4
19,18,79,1
19,18,80,2
19,18,81,6
19,18,82,5
19,18,84,2
19,18,85,3
19,18,86,5
19,18,88,1
19,18,90,1
19,18,91,6
19,18,92,8
19,18,93,1
19,18,95,6
19,18,96,2
19,18,97,5
19,18,98,2
19,18,99,2
19,18,100,4
19,18,101,1
19,18,102,3
19,18,103,4
19,18,104,3
19,18,105,5
19,18,107,5
19,18,108,5
19,18,109,2
19,18,111,2
19,18,112,5
19,18,115,2
19,18,116,3
19,18,117,3
19,18,118,3
19,18,119,1
19,18,120,1
19,18,121,3
19,18,122,1
19,18,124,1
19,18,125,2
19,18,127,1
19,18,128,1
19,18,129,1
19,18,130,1
19,18,132,1
19,18,133,3
19,18,135,2
19,18,136,2
19,18,137,1
19,18,138,1
19,18,139,2
19,18,141,1
19,18,144,1
19,20,1,1
19,20,12,1
19,20,36,1
19,20,45,1
19,20,47,2
19,20,48,1
19,20,51,2
19,20,52,4
19,20,58,1
19,20,59,2
19,20,61,3
19,20,62,1
19,20,64,2
19,20,65,4
19,20,66,1
19,20,69,2
19,20,70,6
19,20,71,1
19,20,72,3
19,20,74,3
19,20,75,3
19,20,76,4
19,20,77,5
19,20,78,4
19,20,79,2
19,20,80,3
19,20,81,1
19,20,82,2
19,20,83,4
19,20,84,8
19,20,85,3
19,20,86,3
19,20,87,4
19,20,88,7
19,20,89,1
19,20,90,1
19,20,92,8
19,20,93,1
19,20,95,20
19,20,96,2
19,20,97,2
19,20,98,2
19,20,99,5
19,20,100,5
19,20,101,3
19,20,102,2
19,20,104,4
19,20,106,3
19,20,107,2
19,20,108,6
19,20,109,5
19,20,110,1
19,20,111,1
19,20,112,4
19,20,113,2
19,20,114,4
19,20,115,5
19,20,116,3
19,20,117,3
19,20,118,3
19,20,119,4
19,20,120,2
19,20,121,4
19,20,122,3
19,20,123,5
19,20,124,6
19,20,125,2
19,20,127,1
19,20,129,2
19,20,130,1
19,20,131,1
19,20,134,1
19,20,138,2
19,20,139,1
19,20,140,1
20,8,9,1
20,8,19,1
20,8,48,1
20,8,53,2
20,8,56,4
20,8,58,1
20,8,59,1
20,8,61,1
20,8,63,1
20,8,64,1
20,8,68,1
20,8,70,6
20,8,71,3
20,8,73,2
20,8,74,2
20,8,75,1
20,8,76,1
20,8,77,2
20,8,78,1
20,8,81,5
20,8,84,2
20,8,87,3
20,8,88,1
20,8,93,3
20,8,94,1
20,8,95,2
20,8,96,3
20,8,98,1
20,8,99,2
20,8,102,3
20,8,103,1
20,8,106,3
20,8,107,4
20,8,108,2
20,8,111,5
20,8,113,1
20,8,116,1
20,8,117,1
20,8,118,1
20,8,119,1
20,8,121,1
20,8,125,1
20,8,126,3
20,8,127,1
20,8,129,1
20,8,132,1
20,8,133,1
20,8,136,1
20,8,141,1
20,9,5,1
20,9,32,1
20,9,33,1
20,9,54,1
20,9,55,1
20,9,56,3
20,9,58,1
20,9,59,1
20,9,62,3
20,9,63,1
20,9,65,4
20,9,66,2
20,9,69,1
